team,url,@context,articleSection,id,newspaper,keywords,articleBody,images,dateCreated,datePublished,commentCount,headline
madrid,http://www.mundodeportivo.com/futbol/real-madrid/20170121/413570805590/danilo-nacho-zidane-liga-malaga.html,http://schema.org,,61572017-01-21T18:51:05.315048,md,"Zinédine Zidane,Danilo,Celta de Vigo,Real Madrid","
    Zidane  ha decidido sentar a Danilo yponer a Nacho en el lateral derecho del Real Madrid para enfrentarse al Málaga. El brasileño fue pitado por el Bernabéu ante el Celta y Zidane ha optado por dejarlo en el banquillo y apostar por el canterano comodín de la defensa blanca. Una decisión que señala claramente a Danilo tras el choque de Copa y al que Zidane ha querido proteger para evitarle una nueva pitada del Bernabéu.El resto del equipo, el habitual, con la vuelta a la titularidad de Benzema tras no jugar de inicio ante el Celta en Copa. La incógnita es saber si Cristiano jugará por banda para abandonar el puesto de delantero centro donde en los últimos partidos no esta brillando.
    El Real Madrid sale ante el Málaga con Keylor Navas; Nacho, Varane, Ramos, Marcelo; Modric, Casemiro, Kroos; Lucas, Benzema y Cristiano
",http://www.mundodeportivo.com/r/GODO/MD/p4/Futbol/Imagenes/2017/01/21/Recortada/U333008_008_20170120153426-k0cG-U4135708055906TG-980x554@MundoDeportivo-Web.jpg,2017-01-21T18:51:05.315048,2017-01-21T15:20:05+01:00,,Zidane sienta a Danilo y pone a Nacho
barca,http://www.mundodeportivo.com/futbol/fc-barcelona/20170121/413564981913/ojo-cristiano-que-neymar-pisa-fuerte.html,http://schema.org,,14752017-01-21T18:51:05.346924,md,"Neymar,Leo Messi,Cristiano Ronaldo,NBA","Según diversos estudios, Twitter tiene ahora mismo una mayor audiencia que la televisión y la radio por lo que los mensajes, sean del tipo que sean, que nos llegan a través de dicha red social pueden influir muchísimo en los usuarios: incluso el prestigioso NY Times se ha hecho eco del tema por todo lo que implica y por la relevancia de los ‘influencers’ en la sociedad actual.
    Un negocio redondo
Lanzar un tuit puede ser, pues, un buen negocio, máxime cuando es más barato que anunciarse vía TV u otros medios de comunicación tradicionales.En este contexto se enmarca el estudio de la agencia Opendorse, que ha identificado a los deportistas mejor pagados  o que más han ingresado por sus ‘tweets’ en 2016.El número 1 del ránking mundial es Cristiano Ronaldo: por cada post lanzado desde su cuenta @cristiano se embolsa nada menos que ¡260.490 euros! Teniendo en cuenta que no sólo tiene casi 50 millones de ‘followers’ sino que también una hábil community manager  (Marisa  Mendes, la hija del representante del crack madridista Jorge Mendes)  queda claro que el cuatro veces ganador del Balón de Oro posee aquí una importantísima fuente de ingresos.Segundo en el ránking elaborado por Opendorse es LeBron James (34,1 millones de seguidores/NBA/123.763 euros  por tuit) y tercero, Neymar (26,9 millones de ‘followers’) 100.000 euros por ‘tweet’).¿El primer crack español en la lista? Rafa Nadal, con 51.452 euros ‘cobrados’ por tuit y 11,8 millones de seguidores.
    Messi no está en Twitter
Cabe destacar que Leo Messi no está en Twitter, con lo cual Cristiano tiene el terreno algo más despejado para arrasar. Sin embargo, Neymar, en general muy activo en las redes sociales, está pisando cada  vez fuerte.
    CR7 suele lanzar sus mensajes en inglés, garantizándose así un mayor alcance. F.C. BarcelonaF.C. BarcelonaF.C. Barcelona",http://www.mundodeportivo.com/r/GODO/MD/p4/MasQueDeporte/Imagenes/2017/01/21/Recortada/img_cordula_20170121-121428_imagenes_md_otras_fuentes_guerara-kZE-U413564981913Hc-980x554@MundoDeportivo-Web.jpg,2017-01-21T18:51:05.346924,2017-01-21T15:39:04+01:00,,"Ojo Cristiano, que Neymar pisa fuerte con los tuits"
madrid,http://www.mundodeportivo.com/futbol/20170121/413573349585/berizzo-necesitamos-a-gente-descansada-para-el-partido-contra-el-real-madrid.html,http://schema.org,,85782017-01-21T18:51:05.393507,md,"Copa del Rey,Real Madrid,Celta de Vigo,Marcelo","El argentino Eduardo ""Toto"" Berizzo, entrenador del Celta de Vigo, justificó su decisión de dejar fuera de la convocatoria a Daniel Wass, Marcelo Díaz y Jonny, habituales en su equipo titular, porque el próximo miércoles tienen ""un partido a vida o muerte"" contra el Real Madrid, en la vuelta de los cuartos de final de la Copa del Rey.""El partido del miércoles tiene una real importancia, lo digo con total sinceridad. Es un partido de vida o muerte y para preparar ese partido es necesario dejar descansar a gente que viene con una continua acumulación de partidos"", explicó el técnico en su comparecencia ante los medios de comunicación.Berizzo, que dejó entrever la primera titularidad de Jozabed Sánchez en San Sebastián, considera que la ""muestra futbolística"" del Santiago Bernabéu tiene que ver con el ""crecimiento"" y la ""madurez"" de su equipo.No obstante, el entrenador del Celta avisa de que el choque de mañana, domingo, contra la Real Sociedad también tiene ""un significado especial"" por la posición que ambos equipos ocupan en la clasificación.""Nos vamos a enfrentar a un equipo que está ahí arriba por un gran mérito y apoyado en un fútbol jugado muy bien por una clase de jugadores muy buenos"", apuntó Berizzo, quien se ha marcado como ""objetivo"" hacer un Celta ""más grande"".""Imagino hacer un Celta ambicioso, que compita, que se instale en un lugar de la tabla ilusionante para sus aficionados. En eso invierto todo el tiempo que tengo desde que empecé a trabajar hace dos años y medio. Hoy vivimos una realidad apoyada en la profesionalidad y en la entrega de un vestuario"", subrayó.Descartó la cesión en este mercado invernal de Álvaro Lemos, y reveló que la probable salida del chileno Fabián Orellana, al que ha apartado del grupo, les ofrece alternativas ""interesantes"" en el mercado extracomunitario. ",http://www.mundodeportivo.com/r/GODO/MD/p4/Futbol/Imagenes/2017/01/21/Recortada/20170120-636205261652145357_20170120162508-keWC--980x554@MundoDeportivo-Web.jpg,2017-01-21T18:51:05.393507,2017-01-21T16:05:50+01:00,,Berizzo: “Necesitamos a gente descansada contra el Real Madrid”
madrid,http://www.mundodeportivo.com/futbol/20170121/413569171688/berizzo-reserva-a-wass-m-diaz-y-jonny-para-partido-copa-contra-real-madrid.html,http://schema.org,,27182017-01-21T18:51:05.544293,md,"Copa del Rey,Marcelo,Celta de Vigo,Real Sociedad","
    Eduardo ""Toto"" Berizzo, entrenador del Celta de Vigo, ha dado este sábado descanso a los centrocampistas Daniel Wass y Marcelo Díaz y al defensa Jonny, que no han entrado en la convocatoria de 19 futbolistas que ha facilitado para el partido de mañana contra la Real Sociedad en Anoeta.El técnico celeste reservará a los tres futbolistas, habituales en su once, para el choque de vuelta de la Copa del Rey contra el Real Madrid, previsto para el próximo miércoles en Balaídos, donde su equipo defenderá el 1-2 logrado en el Santiago Bernabéu.Berizzo pierde por lesión a su portero titular en Liga, Rubén Blanco, y para reemplazarlo ha citado al canterano Iván Villar, quien arrancará el partido en el banquillo, ya que la titularidad será para Sergio Álvarez.La lista de convocados, de la que se caerá un jugador antes del partido, está formada por: Sergio, Hugo Mallo, Fontás, Radoja, Bongonda, Pablo Hernández, Guidetti, Iago Aspas, Sisto, Lemos, Jozabed, Sergi Gómez, Planas, Cabral, Señé, Roncaglia, Rossi, Iván Villar y Pape Cheikh. ",http://www.mundodeportivo.com/r/GODO/MD/p4/Futbol/Imagenes/2017/01/21/Recortada/img_jagsirvent_20170118-215330_imagenes_md_propias_jagsirvent_a2-kf--980x554@MundoDeportivo-Web.jpg,2017-01-21T18:51:05.544293,2017-01-21T13:52:40+01:00,,Berizzo reserva a varios jugadores para el partido contra el Real Madrid
madrid,http://www.mundodeportivo.com/futbol/real-madrid/20170121/413573408064/benzema-cristiano-ronaldo-pifia-sobrada.html,http://schema.org,,73042017-01-21T18:51:05.566148,md,"Karim Benzema,Real Madrid,Cristiano Ronaldo,Toni Kroos","La afición del Real Madrid se desesperó al ver que Cristiano Ronaldo y Karim Benzema marraron sus ocasiones delante del guardameta del Málaga. Primero fue el portugués quien recibió un pase de tiralíneas de Kroos que lo dejó solo ante Kameni, pero ‘The Best’ disparó flojo y el camerunés pudo despejar el peligro.Minutos después sería el francés quien dispondría de una inmejorable ocasión para adelantar a su equipo. El ariete galo intentó rematar un centro desde la derecha tocando de espuela, pero el balón se le escurrió entre las piernas. De rematar sin frivolidades, posiblemente hubiera embocado a gol.",http://www.mundodeportivo.com/r/GODO/MD/p4/Futbol/Imagenes/2017/01/21/Recortada/_20170121163506-ksKC-U413573408064PyB-980x554@MundoDeportivo-Web.jpg,2017-01-21T18:51:05.566148,2017-01-21T16:54:06+01:00,,Pifia de Cristiano y ‘sobrada’ de Benzema
madrid,http://www.mundodeportivo.com/futbol/real-madrid/20170121/413573699881/marcelo-lesionado.html,http://schema.org,,81742017-01-21T18:51:05.625356,md,"Marcelo,Zinédine Zidane,Real Madrid,Isco Alarcón","El Real Madrid no deja de sumar bajas. Tras la lesión esta semana de Carvajal, que no pudo estar contra el Celta, Zidane ha perdido a Marcelo, su titular en el carril izquierdo, en el partido contra el Málaga. El lateral brasileño ha sido sustituido en el minuto 25 del partido y con su cambio por Isco, Zizou ha enviado un mensaje de desconfianza sobre otro de sus hombres, Danilo, que no entró en el once contra el Málaga y fue silbado por el Bernabéu cuando su nombre sonó por megafonía . Además de Carvajal y Marcelo, Pepe y Bale siguen de baja en una temporada muy negativa para los blancos en este sentido. Lucas ha ocupado el lateral derecho y Nacho ha pasado a la izquierda.Marcelo ha dado muestras de su lesión cuando se ha sentado en el banquillo tras la sustitución y, a falta del comunicado del Real Madrid, todo apunta a que se perderá presumiblemente el partido contra el Celta de Copa del Rey, el próximo día 25 en Balaídos. ",http://www.mundodeportivo.com/r/GODO/MD/p4/Futbol/Imagenes/2017/01/21/Recortada/632005626_20170119002349-kG8D-U413573699881hZD-980x554@MundoDeportivo-Web.jpg,2017-01-21T18:51:05.625356,2017-01-21T18:00:45+01:00,,Marcelo se lesiona y Zidane lo cambia por Isco
madrid,http://www.mundodeportivo.com/futbol/real-madrid/20170121/413573673410/laliga-real-madrid--malaga-en-imagenes.html,http://schema.org,,11702017-01-21T18:51:05.711783,md,,LaLiga: Real Madrid- Malagá en imágenes,http://www.mundodeportivo.com/r/GODO/MD/p4/ContraPortada/Imagenes/2017/01/21/Recortada/_20170121163506-kzsF--980x554@MundoDeportivo-Web.jpg,2017-01-21T18:51:05.711783,2017-01-21T16:50:05.000+01:00,,LaLiga: Real Madrid- Málaga en imágenes
madrid,http://www.mundodeportivo.com/futbol/real-madrid/20170121/413573840157/lo-memes-del-real-madrid--malaga.html,http://schema.org,,13552017-01-21T18:51:05.784605,md,,Los memes del Real Madrid- Málaga,http://www.mundodeportivo.com/r/GODO/MD/p4/ContraPortada/Imagenes/2017/01/21/Recortada/img_cchaves_20170121-170500_imagenes_md_otras_fuentes_memes_4-ku6E--980x554@MundoDeportivo-Web.jpg,2017-01-21T18:51:05.784605,2017-01-21T17:13:03.000+01:00,,Los memes del Real Madrid- Málaga
madrid,http://www.mundodeportivo.com/futbol/real-madrid/20170121/413574348428/marcelo-mes-baja.html,http://schema.org,,88242017-01-21T18:51:05.845912,md,,"
    Marcelo sufre un golpe en la parte posterior del muslo izquierdo . El lateral pasará pruebas el lunes para conocer el alcance real de su lesión que tiene toda la pinta que es muscular, por lo que Zidane podría quedarse entre tres y cuatro semanas sin el lateral brasileño. En el club blanco confían en que no se cumplan las peores previsiones, pero lo que está claro es que Marcelo no estará en el partido del miércoles ante el Celta en al vuelta de la Copa y tampoco ante la Real Sociedad en Liga el próximo fin de semana.",http://www.mundodeportivo.com/r/GODO/MD/p4/Futbol/Imagenes/2017/01/21/Recortada/20170121-636206164822373266_20170121173059-kvpB-U413574348428pMG-980x554@MundoDeportivo-Web.jpg,2017-01-21T18:51:05.845912,2017-01-21T17:36:57+01:00,,Marcelo puede estar un mes de baja
madrid,http://www.mundodeportivo.com/futbol/real-madrid/20170121/413574524924/casemiro-debio-ser-expulsado-contra-el-malaga.html,http://schema.org,,54432017-01-21T18:51:05.976849,md,,"
    Casemiro se ha librado de la roja en el partido de LaLiga Santander que ha enfrentado al Real Madrid contra el Málaga. El centrocampista brasileño, con una tarjeta amarilla, ha derribado sin intención de disputar la pelota al malacitano Juanpi que estaba llevando una contra del conjunto entrenado por el Gato Romero. El árbitro Gil Manzano ha señalado la falta pero no ha querido enviar a Casemiro a vestuarios. Era el minuto 92 y quedaban dos minutos de tiempo de descuento con 2-1 en el marcador.",http://www.mundodeportivo.com/r/GODO/MD/p4/Futbol/Imagenes/2017/01/21/Recortada/632291410_20170121174438-kd0D-U413574524924ZaF-980x554@MundoDeportivo-Web.jpg,2017-01-21T18:51:05.976849,2017-01-21T18:19:07+01:00,,Casemiro debió ser expulsado contra el Málaga
atletico,http://www.marca.com/futbol/atletico/2017/01/17/587d2b3046163f14218b4586.html,http://schema.org,Atlético de Madrid,97652017-01-21T18:51:06.073421,marca,"Atlético de Madrid,Primera División,Antoine Griezmann,fútbol","El observatorio de fútbol CIESha publicado un estudio en el que se revela cuáles son los futbolistas más caros del mundo según su propio algoritmo, en el que tiene en cuenta la edad y el contrato del futbolista con su club, además de variables sobre el rendimiento, como los partidos y minutos jugados o los goles. También, por cierto, la capacidad económica de las entidades que podrían contratarles.Con todos estos datos, dos son los nombres propios del vestuario del Atlético que destacan. El primero es Griezmann. El francés es el cuarto de la lista, sólo por detrás de Neymar, Messi y Pogba. El valor de mercado del goleador del Atlético según este estudio llega hasta los 150,4 millones de euros. Su compatriota y amigo, con un valor de 155,3 millones; el argentino, con 170,5 ; y el brasileño, con 246,8, son los únicos que superan al rojiblanco. Por detrás aparecen Luis Suárez y sus 145,2 millones, Harry Kane con 139,2 y Cristiano y sus 126,5.En el puesto 15º está el siguiente rojiblanco, Carrasco, con un valor de 83 millones. En el 31º aparece Koke, con 67,1, y en el 34º Saúl, que alcanza los 65 kilos.El otro futbolista del Atlético que aparece en la lista es Oblak. El esloveno es además el portero que mejor valorado está según el estudio. Su rendimiento en el equipo rojiblanco le ha hecho alzarse hasta la posición número 43, con un valor de mercado de 59,8 millones de euros. No hay ningún otro guardameta de las cinco grandes ligas con una mejor valoración que el 13 rojiblanco. El segundo que aparece es Courtois, que tiene un valor de 55,2 millones y se coloca en la plaza 45 del estudio.",http://e00-marca.uecdn.es/assets/multimedia/imagenes/2017/01/16/14845980148137.jpg,2017-01-21T18:51:06.073421,2017-01-17T09:08:17+01:00,12,"Griezmann, el cuarto más caro del mundo"
